RUN	mytestgatjava.TestGetGatlingJava	testgetgatlingjava	1718275360916	 	3.11.3
USER	Get id game	START	1718275361268
USER	Get id game	START	1718275361268
USER	Get id game	START	1718275361268
REQUEST		Game 0	1718275361267	1718275361277	OK	 
REQUEST		Game 0	1718275361267	1718275361277	OK	 
REQUEST		Game 0	1718275361267	1718275361277	OK	 
REQUEST		Game 1	1718275363289	1718275363294	OK	 
REQUEST		Game 1	1718275363289	1718275363294	OK	 
REQUEST		Game 1	1718275363289	1718275363294	OK	 
REQUEST		Game 2	1718275365295	1718275365300	OK	 
REQUEST		Game 2	1718275365295	1718275365300	OK	 
REQUEST		Game 2	1718275365295	1718275365301	OK	 
REQUEST		Game 3	1718275367301	1718275367305	OK	 
REQUEST		Game 3	1718275367301	1718275367305	OK	 
REQUEST		Game 3	1718275367301	1718275367305	OK	 
REQUEST		Game 4	1718275369306	1718275369311	OK	 
REQUEST		Game 4	1718275369306	1718275369311	OK	 
REQUEST		Game 4	1718275369306	1718275369311	OK	 
USER	Get id game	END	1718275371315
USER	Get id game	END	1718275371315
USER	Get id game	END	1718275371315
